Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
10_10_20_10_10_1_1_5_2_5_0.2_5,5000,48.92,0.00,100.00,3000,17,838,27.93,0,100,29.150184252300264,2,Bots Recharged for WPT: 17
10_10_20_20_10_1_1_5_2_5_0.2_5,5000,33.96,0.00,100.00,3000,23,237,7.90,8.508928551579034,100,68.7514880919299,0,Bots Recharged for WPT: 23
10_10_20_50_10_1_1_5_2_5_0.2_5,2852,38.96,50.00,50.00,3000,24,1291,43.03,0,100,26.26666666666669,4,Bots Recharged for WPT: 24
10_10_50_1_10_1_1_5_2_5_0.2_5,4658,27.88,10.00,90.00,3000,10,953,31.77,0,100,29.333333333333346,4,Bots Recharged for WPT: 10
10_10_50_10_10_1_1_5_2_5_0.2_5,5000,32.40,0.00,100.00,3000,8,420,14.00,0,100,19.4666666666667,4,Bots Recharged for WPT: 8
10_10_50_20_10_1_1_5_2_5_0.2_5,5000,36.44,0.00,100.00,3000,20,560,18.67,0,100,78.2666666666667,1,Bots Recharged for WPT: 20
10_10_50_50_10_1_1_5_2_5_0.2_5,5000,23.40,0.00,100.00,3000,1,1604,53.47,0,100,21.60000000000004,4,Bots Recharged for WPT: 1
10_20_1_1_10_1_1_5_2_5_0.2_5,5000,32.08,0.00,100.00,3000,1,1328,44.27,0,100,21.20000000000004,4,Bots Recharged for WPT: 1
10_20_1_10_10_1_1_5_2_5_0.2_5,4344,46.16,20.00,80.00,3000,25,669,22.30,0,100,35.06666666666672,3,Bots Recharged for WPT: 25
10_20_1_20_10_1_1_5_2_5_0.2_5,5000,43.52,0.00,100.00,3000,22,217,7.23,0,100,38.933333333333366,3,Bots Recharged for WPT: 22
10_20_1_50_10_1_1_5_2_5_0.2_5,5000,32.32,0.00,100.00,3000,15,172,5.73,24.000000000000234,100,80.5333333333334,0,Bots Recharged for WPT: 15
10_20_10_1_10_1_1_5_2_5_0.2_5,5000,35.44,0.00,100.00,3000,6,540,18.00,0,100,36.00000000000005,3,Bots Recharged for WPT: 6
10_20_10_10_10_1_1_5_2_5_0.2_5,5000,41.16,0.00,100.00,3000,28,291,9.70,22.400000000000162,100,66.26666666666678,0,Bots Recharged for WPT: 28
10_20_10_20_10_1_1_5_2_5_0.2_5,3625,32.16,30.00,70.00,3000,14,253,8.43,0,100,46.43647106600779,2,Bots Recharged for WPT: 14
